n	m	l	a	b	sgm	S	tr	tg	td	nll
4	102	137353870	26.664069	1.172284	19.382522	901.684204	0.10232	0.182329	0.021732	7567.283906
4	68	141660735	40.026857	1.088957	17.714488	795.449944	0.081047	0.172618	0.080417	7594.454332
4	98	123050493	42.573972	1.087737	16.130662	927.168579	0.164968	0.011336	0.088565	7646.248423
4	92	136922110	24.84405	1.235353	18.750215	1430.293579	0.268084	0.001328	0.076635	7655.693619
4	54	115999284	46.818209	0.363132	14.370975	2967.515625	0.365581	0.938978	0.999998	7629.649758
4	42	126036413	4.988794	1.396729	26.602564	1646.79541	0.206574	0.112471	0.04918	7593.35223
4	106	144058017	48.007001	0.971604	11.934622	458.488693	0.114269	0.001	0.055789	7660.479802
4	100	144816444	4.00629	1.506955	16.877842	1360.762695	0.365932	0.084646	0.02077	7581.130937
4	78	132402831	12.479904	1.370543	24.105945	914.272583	0.107513	0.126738	0.04125	7582.953416
4	82	94681949	24.829395	1.196937	20.742733	822.134399	0.090728	0.167715	0.030402	7571.111468
4	60	126105945	44.856514	0.972992	16.531953	894.861979	0.120815	0.159879	0.051353	7579.154369
4	62	136962425	21.011029	1.262267	21.578959	1118.132843	0.145347	0.133726	0.03844	7578.06836
4	108	150537055	22.966633	1.116238	22.914762	1699.814941	0.220261	0.137524	0.036018	7601.772418
4	118	62387187	28.105059	1.275287	16.73912	918.067383	0.193612	0.027402	0.068426	7635.831368
4	76	61242289	29.764252	1.228784	17.6091	748.023438	0.140814	0.019235	0.079589	7643.985805
4	74	138493113	39.254335	1.164187	11.317781	758.536522	0.23204	0.007788	0.041569	7638.931068
4	90	148413966	24.53373	1.21723	24.899521	724.207031	0.087499	0.002469	0.128546	7684.597622
4	116	133554808	24.97196	1.207844	20.285184	998.708588	0.144114	0.12679	0.033662	7577.887981
4	66	138043162	19.562534	1.275505	21.73832	947.020676	0.111359	0.157096	0.029034	7569.520468
4	84	64669287	36.369009	1.056107	17.637839	922.75	0.107477	0.202144	0.030446	7573.739111
4	70	51258251	38.538439	1.084216	17.265209	862.096863	0.120014	0.129269	0.052973	7584.018622
4	72	88270615	29.527692	1.273069	23.481761	644.470947	0.059745	0.019215	0.181504	7716.988356
4	43	56984863	14.446184	1.237691	28.282148	451.555597	0.023311	0.067169	0.102445	7669.986524
4	93	98299476	20.470226	0.972805	22.005963	2794.805664	0.334919	0.108112	0.055791	7640.476992
4	67	80010993	0.00871	1.433572	27.688649	425.686554	0.0669	0.017649	0.079748	7631.538941
4	57	54762177	18.869441	1.243073	20.986393	1142.097504	0.157963	0.166989	0.006679	7569.175945
4	49	102456699	1.821041	1.477318	24.633093	1071.834961	0.149289	0.135534	0.018165	7561.247191
4	109	91771691	4.046631	1.183447	13.868561	184.796875	0.107311	0.001463	0.010181	7624.908324
4	85	97470017	18.883136	1.351502	18.944094	886.045715	0.166493	0.091514	0.039852	7598.726782
4	97	103078683	18.734737	1.317077	25.80518	1034.593201	0.086375	0.140446	0.075028	7609.293018
4	88	76262183	32.937691	1.192756	18.356965	874.909546	0.146915	0.001047	0.100557	7649.528262
